Time Frame,Percentage Change,Coin
1h,-1.42018112,Bitcoin
1h,-0.75058243,BNB
1h,-1.45420097,Cardano
1h,-1.3275703,Ethereum
1h,-0.65836866,XRP
24h,-5.89776629,Bitcoin
24h,-5.03657579,BNB
24h,-9.05880109,Cardano
24h,-8.61585257,Ethereum
24h,-4.37537578,XRP
30d,-14.3531793,Bitcoin
30d,-12.72186222,BNB
30d,-18.82318537,Cardano
30d,-19.88521567,Ethereum
30d,-10.96550204,XRP
60d,0.50153629,Bitcoin
60d,18.39770368,BNB
60d,6.48545682,Cardano
60d,29.51557259,Ethereum
60d,1.64499873,XRP
7d,5.83855326,Bitcoin
7d,0.61172554,BNB
7d,-5.50322655,Cardano
7d,-4.53925275,Ethereum
7d,1.58474039,XRP
90d,-0.95037587,Bitcoin
90d,33.51597568,BNB
90d,-0.50806086,Cardano
90d,43.67221593,Ethereum
90d,9.98251973,XRP
