Rank,First symbol,Coin,Price,Market Cap
1,BTC,Bitcoin,$21000.792,$402158711811
2,ETH,Ethereum,$1588.069,$194302996040
3,USDT,Tether,$1.000,$67824530766
4,USDC,USD Coin,$1.000,$51403663851
5,BNB,BNB,$282.387,$45559578968
6,BUSD,Binance USD,$1.000,$20241214552
7,XRP,XRP,$0.340,$16932793813
8,ADA,Cardano,$0.468,$16004277867
9,SOL,Solana,$34.869,$12323308835
10,DOT,Polkadot,$7.254,$8098639154
11,DOGE,Dogecoin,$0.061,$8027350739
12,MATIC,Polygon,$0.855,$7465796843
13,DAI,Dai,$0.997,$6858980550
14,SHIB,Shiba Inu,$0.000,$6679680273
201,HEX,HEX,$0.038,$6607746784
202,WTRX,Wrapped TRON,$0.062,$6273386863
15,AVAX,Avalanche,$19.671,$5816294787
16,TRX,TRON,$0.062,$5691974297
203,stETH,Lido Staked ETH,$1543.829,$5384454120
17,WBTC,Wrapped Bitcoin,$21068.132,$5242979876
18,ETC,Ethereum Classic,$35.054,$4797283398
19,LEO,UNUS SED LEO,$4.937,$4710121890
20,UNI,Uniswap,$6.178,$4708326838
21,LTC,Litecoin,$62.289,$4432560198
204,YOUC,yOUcash,$0.511,$4407340041
22,ATOM,Cosmos,$14.445,$4136656099
23,FTT,FTX Token,$26.785,$3588561819
24,NEAR,NEAR Protocol,$4.567,$3572319717
25,LINK,Chainlink,$7.228,$3553266377
26,CRO,Cronos,$0.114,$2869215519
27,XMR,Monero,$153.491,$2789512295
28,XLM,Stellar,$0.107,$2721501984
29,BCH,Bitcoin Cash,$120.905,$2318035916
30,LUNC,Terra Classic,$0.000,$2221528074
205,BTCB,Bitcoin BEP2,$21021.700,$2214850579
206,TON,Toncoin,$1.797,$2195377268
31,ALGO,Algorand,$0.301,$2083714634
32,FLOW,Flow,$1.928,$1997611494
33,ICP,Internet Computer,$6.668,$1733553345
34,VET,VeChain,$0.024,$1725723685
35,FIL,Filecoin,$6.040,$1693751113
36,APE,ApeCoin,$5.306,$1628142571
37,EOS,EOS,$1.554,$1555195164
38,HBAR,Hedera,$0.066,$1519335861
207,XCN,Chain,$0.071,$1519030027
208,FRAX,Frax,$0.990,$1453114001
39,XTZ,Tezos,$1.562,$1419561104
40,MANA,Decentraland,$0.749,$1388802895
41,SAND,The Sandbox,$0.904,$1356188674
42,CHZ,Chiliz,$0.204,$1221629505
209,BIT,BitDAO,$0.593,$1221206790
43,QNT,Quant,$100.596,$1214469388
44,AAVE,Aave,$84.910,$1196600381
210,WBNB,Wrapped BNB,$281.553,$1193501259
45,EGLD,Elrond,$49.337,$1141114457
46,THETA,Theta Network,$1.114,$1113570906
47,AXS,Axie Infinity,$13.353,$1109013885
48,TUSD,TrueUSD,$1.000,$1068289176
49,BSV,Bitcoin SV,$52.509,$1006530112
50,USDP,Pax Dollar,$1.000,$945674453
51,OKB,OKB,$15.421,$925273934
52,KCS,KuCoin Token,$9.316,$916510412
53,ZEC,Zcash,$60.051,$916106675
54,XEC,eCash,$0.000,$885197355
211,BTTOLD,BitTorrent,$0.001,$882230802
212,HBTC,Huobi BTC,$21195.409,$825974423
