new_cases_smoothed,date
0,2020-01-22 00:00:00
0,2020-01-23 00:00:00
0,2020-01-24 00:00:00
0,2020-01-25 00:00:00
0,2020-01-26 00:00:00
338.857,2020-01-27 00:00:00
717.571,2020-01-28 00:00:00
801.714,2020-01-29 00:00:00
1082.857,2020-01-30 00:00:00
1283.286,2020-01-31 00:00:00
1514.429,2020-02-01 00:00:00
2095.286,2020-02-02 00:00:00
2422.571,2020-02-03 00:00:00
2617,2020-02-04 00:00:00
3067.857,2020-02-05 00:00:00
3224.143,2020-02-06 00:00:00
3496.143,2020-02-07 00:00:00
3584.714,2020-02-08 00:00:00
3339.286,2020-02-09 00:00:00
3269.143,2020-02-10 00:00:00
2987.857,2020-02-11 00:00:00
2512.571,2020-02-12 00:00:00
4225.429,2020-02-13 00:00:00
4644.571,2020-02-14 00:00:00
4560.571,2020-02-15 00:00:00
4439.429,2020-02-16 00:00:00
4357.429,2020-02-17 00:00:00
4334.429,2020-02-18 00:00:00
4346.143,2020-02-19 00:00:00
2261.714,2020-02-20 00:00:00
1419.143,2020-02-21 00:00:00
1364.714,2020-02-22 00:00:00
1107.429,2020-02-23 00:00:00
897.857,2020-02-24 00:00:00
751,2020-02-25 00:00:00
818.571,2020-02-26 00:00:00
930.429,2020-02-27 00:00:00
1043.857,2020-02-28 00:00:00
1059.429,2020-02-29 00:00:00
1344.714,2020-03-01 00:00:00
1546.429,2020-03-02 00:00:00
1797.571,2020-03-03 00:00:00
1990.286,2020-03-04 00:00:00
2185.571,2020-03-05 00:00:00
2543.571,2020-03-06 00:00:00
2866.429,2020-03-07 00:00:00
3077.143,2020-03-08 00:00:00
3411.857,2020-03-09 00:00:00
3722.429,2020-03-10 00:00:00
4462.714,2020-03-11 00:00:00
5040.571,2020-03-12 00:00:00
6364,2020-03-13 00:00:00
7329.286,2020-03-14 00:00:00
8383.429,2020-03-15 00:00:00
9846.857,2020-03-16 00:00:00
11330.857,2020-03-17 00:00:00
12767.429,2020-03-18 00:00:00
15671.857,2020-03-19 00:00:00
