new_deaths_smoothed,date
0,2020-01-22 00:00:00
0,2020-01-23 00:00:00
0,2020-01-24 00:00:00
0,2020-01-25 00:00:00
0,2020-01-26 00:00:00
9.286,2020-01-27 00:00:00
16.286,2020-01-28 00:00:00
16.571,2020-01-29 00:00:00
21.857,2020-01-30 00:00:00
26.714,2020-01-31 00:00:00
31,2020-02-01 00:00:00
43.714,2020-02-02 00:00:00
49.143,2020-02-03 00:00:00
51.571,2020-02-04 00:00:00
61.571,2020-02-05 00:00:00
66.143,2020-02-06 00:00:00
72.286,2020-02-07 00:00:00
78.143,2020-02-08 00:00:00
77.714,2020-02-09 00:00:00
83.857,2020-02-10 00:00:00
88.714,2020-02-11 00:00:00
79.143,2020-02-12 00:00:00
105.286,2020-02-13 00:00:00
114.857,2020-02-14 00:00:00
122.857,2020-02-15 00:00:00
123.429,2020-02-16 00:00:00
122.143,2020-02-17 00:00:00
127.857,2020-02-18 00:00:00
143.571,2020-02-19 00:00:00
125.286,2020-02-20 00:00:00
104.143,2020-02-21 00:00:00
113.286,2020-02-22 00:00:00
100,2020-02-23 00:00:00
108.857,2020-02-24 00:00:00
100.286,2020-02-25 00:00:00
92.571,2020-02-26 00:00:00
80.857,2020-02-27 00:00:00
88.714,2020-02-28 00:00:00
69.143,2020-02-29 00:00:00
75.286,2020-03-01 00:00:00
65.143,2020-03-02 00:00:00
64.286,2020-03-03 00:00:00
69.143,2020-03-04 00:00:00
76.286,2020-03-05 00:00:00
84,2020-03-06 00:00:00
89,2020-03-07 00:00:00
115.571,2020-03-08 00:00:00
130,2020-03-09 00:00:00
158.857,2020-03-10 00:00:00
194.571,2020-03-11 00:00:00
225.571,2020-03-12 00:00:00
279.143,2020-03-13 00:00:00
324.714,2020-03-14 00:00:00
383,2020-03-15 00:00:00
453.714,2020-03-16 00:00:00
530,2020-03-17 00:00:00
611.429,2020-03-18 00:00:00
725.857,2020-03-19 00:00:00
868.857,2020-03-20 00:00:00
1054.286,2020-03-21 00:00:00
1202.143,2020-03-22 00:00:00
