total_cases,total_deaths,location
32854468195,484688296,United States
19673040034,252616924,India
13651958651,341805486,Brazil
8093781212,79113132,France
6963567755,95836379,United Kingdom
6159678951,62821528,Germany
6137614358,139802294,Russia
5255929150,41362960,Turkey
5012461085,89498576,Italy
4196079846,60016092,Spain
3544228054,63464695,Argentina
3011440826,70007535,Iran
2874444914,70591124,Colombia
2758618353,4778140,South Korea
2421347136,170953925,Mexico
2303325006,50762990,Poland
2298410071,66547788,Indonesia
2253313862,13000759,Netherlands
2009853921,45699948,Ukraine
1942375810,11165328,Japan
1878139918,12059892,Vietnam
1757333069,49326385,South Africa
1591411297,124646693,Peru
1435690318,19419293,Czechia
1432821728,23746798,Philippines
1327649802,11954534,Malaysia
1327185080,20153388,Canada
1325038926,24989068,Chile
1302147693,18697987,Belgium
1244023003,2124543,Australia
1236318868,11574490,Portugal
1222353674,5036792,Israel
1099726390,8628963,Thailand
1087092268,13766182,Iraq
1064410541,27687079,Romania
1052086530,9241967,Austria
1009187601,7545993,Switzerland
912899588,10527249,Sweden
878858664,13863638,Bangladesh
854603188,10715791,Greece
795159799,8381866,Slovakia
746144424,15797388,Pakistan
732604782,2310682,Denmark
720471532,6245737,Serbia
689474929,20004294,Hungary
621419060,6461966,Jordan
549754089,8114424,Kazakhstan
534079405,8035084,Morocco
519595309,6045930,Georgia
445072518,3748236,Ireland
441546677,5474333,Nepal
437185036,4894695,Lebanon
433628034,1229294,United Arab Emirates
412981089,14849092,Bulgaria
401844127,5689153,Saudi Arabia
401257088,12393409,Tunisia
390552862,3133972,Cuba
383293559,6394690,Croatia
382915253,2845071,Belarus
367782504,18826334,Ecuador
365168472,11674057,Bolivia
345753392,4621095,Panama
339439914,3622842,Lithuania
335445701,925061,Norway
334808216,3711316,Costa Rica
331891877,8172370,Guatemala
319117326,4142059,Azerbaijan
307572180,3119013,Slovenia
299790633,778183,Taiwan
286489437,3040444,Uruguay
282345457,336624,Singapore
277117361,714906,Mongolia
274763707,8155049,Paraguay
273055267,1380040,Kuwait
263606900,2545018,Palestine
262072785,2675261,Dominican Republic
252064036,5705442,Sri Lanka
241397741,7811219,Myanmar
237883390,1250441,Finland
225282581,11991459,Egypt
225138534,2495214,Venezuela
217379420,5024379,Moldova
216129606,3430283,Ethiopia
210875543,742216,Bahrain
210699074,2148221,Latvia
204916642,5395821,Honduras
201361988,2806098,Libya
197590357,1467840,Hong Kong
191520607,3861199,Armenia
188924410,2204319,Oman
183729111,4176458,China
182806056,368149,Qatar
173030024,152832,New Zealand
162890517,6917059,Bosnia and Herzegovina
162253207,977385,Estonia
149094973,2722450,Kenya
131970431,1733482,Nigeria
129475348,4134121,North Macedonia
125310721,3442642,Algeria
124805908,1778152,Zambia
124105747,362751,Cyprus
115100289,1724024,Albania
107791441,765581,Uzbekistan
102300631,1612883,Kyrgyzstan
101774318,1079370,Botswana
95037331,1644553,Kosovo
93491088,1217198,Montenegro
87919410,938694,Mozambique
86918738,3760936,Afghanistan
85432222,2269023,Zimbabwe
81671785,684806,Ghana
77337458,556577,Luxembourg
71007978,2000981,El Salvador
68742184,1613364,Namibia
67592187,1421007,Uganda
60223556,130943,Maldives
57267433,944840,Cameroon
50342573,1120933,Jamaica
50124494,1096806,Cambodia
49558527,584950,Rwanda
46547798,251829,Mauritius
46351372,162824,Laos
44512170,1179228,Trinidad and Tobago
40875069,972646,Senegal
39468861,342893,Cote d'Ivoire
38502294,39676,Iceland
37971819,824122,Angola
36860541,683727,Democratic Republic of Congo
35972261,1163183,Malawi
31443553,305146,Malta
29896523,604333,Madagascar
29467996,2124514,Sudan
27344751,638427,Eswatini
27248919,50572,Brunei
26999226,512873,Suriname
26159094,259954,French Polynesia
24223245,194952,Cape Verde
23894256,463356,Mauritania
23057308,1392149,Syria
22279588,280063,Fiji
22178515,475484,Guyana
21207663,137228,Gabon
19463568,294717,Belize
19024517,192452,Guinea
17639851,115091,Barbados
15268322,213929,Papua New Guinea
14906834,387545,Haiti
14586546,93491,Andorra
14434625,125466,Togo
13918646,59196,Seychelles
13638301,99195,Curacao
13581308,320120,Bahamas
12851298,91812,New Caledonia
12817495,94280,Aruba
12672611,304196,Lesotho
12362968,370022,Mali
12307713,15575,Burundi
12090119,609186,Somalia
11498629,82591,Tajikistan
11006602,84357,Benin
10832463,169660,Congo
10528840,258396,Tanzania
9958784,163564,Burkina Faso
9150789,3762,Bhutan
8503655,103858,Djibouti
8475956,45488,Timor
8186837,40404,Isle of Man
8121093,81898,South Sudan
7818827,101066,Equatorial Guinea
7728979,123581,Saint Lucia
7348329,6729,Faeroe Islands
7124452,68702,Central African Republic
6875807,148944,Nicaragua
5771438,180514,Gambia
5641257,55647,Gibraltar
5516208,68267,San Marino
5397858,6486,Cayman Islands
5348377,1058000,Yemen
4610556,40249,Liechtenstein
4316157,156708,Niger
4077306,32320,Eritrea
4060354,47154,Bermuda
4017459,79571,Sierra Leone
3997371,68448,Grenada
3916836,77025,Guinea-Bissau
3591280,121510,Chad
3475961,23620,Monaco
3333171,142214,Liberia
3329649,17016,Dominica
3269166,86751,Comoros
2862369,24802,Solomon Islands
2847993,31842,Saint Vincent and the Grenadines
2628282,3747,Greenland
2494160,12423,Bonaire Sint Eustatius and Saba
2428878,33389,Sao Tome and Principe
2387519,49400,Antigua and Barbuda
2288269,15235,Turks and Caicos Islands
1897455,19629,British Virgin Islands
1591362,11760,Saint Kitts and Nevis
1574599,2994,Samoa
1554845,1536,Tonga
1246879,1971,Vanuatu
865549,1055,Palau
763358,2173,Anguilla
711919,107,Cook Islands
577204,2249,Kiribati
465227,190,Saint Pierre and Miquelon
236609,3437,Wallis and Futuna
197994,0,Falkland Islands
126494,1479,Montserrat
82487,130,Micronesia (country)
77995,179,Macao
20659,0,Vatican
5856,1,Marshall Islands
2630,0,Saint Helena
88,528,North Korea
0,0,Guam
0,0,Guernsey
0,0,Jersey
0,0,Nauru
0,0,Niue
0,0,Northern Cyprus
0,0,Northern Mariana Islands
0,0,Pitcairn
0,0,Puerto Rico
0,0,Sint Maarten (Dutch part)
0,0,Tokelau
0,0,Turkmenistan
0,0,Tuvalu
0,0,United States Virgin Islands
0,0,Western Sahara
